ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,imf_1_mean,imf_1_std,imf_2_mean,imf_2_std,imf_3_mean,imf_3_std
8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,0,-242.69732045863623,6512.427881613696,2808.55582641397,6351.049918910568,,
9.092223456,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,0,-187.150599249342,5331.5693298479155,2290.6955515965647,5200.613789684417,,
5.584086638,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,0,-2244.96043845445,9198.747428832552,5536.42194986945,8054.097899574984,,
10.22386216,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,0,-355.1416108237643,7262.0610320937785,3665.57570139632,7457.835099867812,,
8.635848719,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,0,178.2872618793043,4272.590547006397,1460.171972174029,4313.49696029676,,
11.18028447,227.2314692,25484.50849,9.077200017,404.0416347,563.8854815,17.92780641,71.97660103,4.370561937,0,-272.96531196570726,7558.956346471784,3250.0985929950402,7360.09074388174,,
7.360640106,165.5207973,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,78.74001566,3.662291783,0,-4206.101625560238,10572.167371887741,7926.439785470906,8537.364275633656,,
7.119824384,156.7049933,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,79.50077834,3.445756223,0,-208.18088110000406,5547.656146151329,2388.9786202164487,5399.366088343833,,
6.347271761,186.7328807,41065.23476,9.629596276,364.4876872,516.7432819,11.53978119,75.07161729,4.376348291,0,-5333.590838911939,13380.43879689591,10026.942308312828,10805.21111088872,,
9.181560007,273.8138067,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.45736221,4.503660796,0,-251.4360922751248,7122.126936909664,3062.202776599458,6956.803689846794,,
7.371050302,214.4966105,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,62.79727715,2.560299148,0,-290.18387544883547,7593.3186318579255,3261.3123310521687,7396.110640351583,,
6.660212026,168.2837469,30944.36359,5.858769131,310.9308583,523.6712975,17.88423519,77.04231805,3.749701241,0,-376.49097536861,9167.104776007493,3938.540389628388,8901.559137825072,,
5.400301781,140.7390623,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,56.93190645,4.82478639,0,-2163.260142993224,5636.48970895165,4196.264034612224,4562.796477511209,,
6.514415093,198.7673513,21218.70287,8.67093692,323.596349,413.2904501,14.89999957,79.84784281,5.200885077,0,-2700.265702875452,6908.331362287574,5174.653602861007,5590.027988760729,,
3.445061864,207.9262602,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,30.2845972,4.184396969,0,-4321.532572413057,10882.871902915747,8156.975897682392,8798.713579053374,,
7.181448581,209.6256005,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,71.53795326,5.088859989,0,188.71469739723273,4724.891580489046,1609.5107300148782,4783.550895000989,,
10.43329098,117.7912296,22326.89205,8.161504811,307.7075086,412.9868338,12.89070856,65.73347839,5.057310517,0,-260.1764255457596,6614.298785732671,2845.4713050188707,6421.583259717581,,
7.414148196,235.0445345,32555.85254,6.845952024,387.1753165,411.9833642,10.24481507,44.48929725,3.160624468,0,-392.5123223512658,9621.90572986074,4132.757943707711,9379.195700312815,,
5.115817064,191.952743,19620.54533,6.060712995,323.8363839,441.7483793,10.96648615,49.23823132,3.902088768,0,-2479.1508267538243,6392.689174098302,4773.969290364603,5178.692174165694,,
3.641629777,183.9087223,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,73.59465676,3.464353035,0,-3168.5144196403826,8066.251842268938,6032.311514602382,6522.880372520004,,
9.267187531,198.6143947,24683.72357,6.110612421,328.0775332,396.8769491,16.47196935,30.38331457,4.324004646,0,-286.0313045665241,7304.623525217447,3138.6812529574127,7119.781458039112,,
5.331940479,194.8740654,16658.8765,7.993829562,316.6751618,335.1203984,10.1805138,59.57271371,4.434820258,0,-2106.373763500676,5417.882133815091,4061.1582016572306,4390.351365014043,,
7.145771545,238.6899285,28780.34043,6.814028701,385.9756505,332.0327063,11.0931634,66.13804475,5.182590704,0,-360.6860724621484,7269.738130075467,3675.5096629510363,7457.071442100291,,
9.920691059,202.817483,9973.934059,6.882248307,337.3505291,333.1924699,23.91760126,71.83362396,4.69070723,0,-127.99327208919719,2524.0578531691117,1346.2754290687528,2560.8720669235568,,
6.953864226,209.638293,10575.18628,4.462707246,315.6065944,391.1843151,13.28533392,87.39088898,3.195710328,0,151.3803904024679,3301.9160372514075,1138.27560817531,3342.6204755974186,,
10.68296643,173.3754984,15758.74062,5.570783575,307.3525858,323.8079132,10.09086975,78.47278445,3.999775382,0,-158.97703438154758,4667.228056325674,2011.4319007134359,4554.5121692756975,,
8.757257397,200.1914004,21536.22469,4.915101055,317.8829005,404.7177992,13.76832331,47.93087188,3.626135442,0,-237.31018637670797,6379.447380488302,2741.534017397152,6220.172804528948,,
7.809631898,100.4576151,12013.55063,5.212314602,247.200826,605.2201244,9.61134874,66.08417364,2.447444464,0,-310.70249514244523,3498.328756926606,1761.5462850140004,3259.5791062934136,,
6.652488091,145.0101719,19871.78845,4.96106638,288.0521917,545.9749938,10.94202426,71.72741406,3.742090426,0,-210.04335233827422,5911.528827156823,2537.693451295718,5735.8436118389745,,
9.147197055,211.7141418,11920.61084,7.230794769,339.7519188,527.70891,18.27531211,47.63488493,3.794531591,0,-288.53340870514455,3460.3120478263245,1742.518801044589,3267.5532207862966,,
10.56074464,181.8933656,21783.65103,6.991259996,340.3903784,456.5564021,16.48283537,34.25204908,3.96468635,0,-237.86120033744723,6458.4677022182605,2775.0548393970034,6289.678851380439,,
8.520806573,238.3351125,28779.65001,8.282808465,381.6493229,481.3188027,6.016336609,39.09117136,3.94060453,0,-329.1728183697699,8519.38256453667,3656.595593440548,8306.672774084082,,
4.999413811,190.2870501,24323.8659,7.230164127,324.8930378,405.330482,8.236557503,99.42738492,4.460683932,0,-3117.7198791663536,7920.286128067756,5936.467731854465,6402.684025707261,,
3.906078355,233.402835,32144.79993,6.994839617,348.3594482,269.4490512,9.6541256,63.74306384,3.902879712,0,-2502.2438917728546,10288.199303618549,6178.267475275521,9023.607352923887,,
6.391353624,213.0178297,20965.47831,5.375559892,327.6505425,369.3381209,13.75810517,17.91572257,3.923749169,0,-229.72275660950365,6206.249227645614,2665.5949003345036,6062.1609229714795,,
5.058108869,238.5693804,34873.93452,8.983276144,374.4335045,669.7250862,13.35318143,76.52179975,5.106655774,0,-4464.130119181612,11370.581913421565,8493.650731744614,9195.667466782525,,
7.261550522,179.8897882,24964.7777,5.837086493,349.2692713,501.1827807,17.28771328,50.99300645,3.636364183,0,-281.8770510914516,7401.564616925633,3179.6698578834516,7198.500560416638,,
7.160467231,183.08931,6743.346066,3.803036424,277.5990986,428.0363444,9.79962469,90.03537367,3.884891044,0,-169.09318263867942,1958.611718878839,1029.843650645235,1832.735056979741,,
5.704764776,116.2993299,33223.58153,7.05050316,297.0781535,504.378681,9.001820488,48.14703125,4.157533407,0,-4299.502100598281,10839.059816465338,8101.213139207281,8752.085136222287,,
6.217273135,130.9444639,19460.38282,7.092462955,300.131272,556.65371,14.08360835,57.89707471,5.325833446,0,-2442.874893798667,6360.8730568581395,4724.955840298222,5146.142142091776,,
3.514545529,158.7320758,23029.66361,6.821679099,286.5228468,307.379142,9.712231911,79.85092857,3.762615331,0,-2973.466740505052,7495.4533451093885,5627.462259953942,6055.568132390031,,
3.722500486,163.6397469,37962.16799,6.684570274,326.6940179,467.5629729,14.56726886,50.5779791,3.662837732,0,-4935.023317692593,12370.367773173004,9268.276638153926,9988.854551406615,,
6.455004797,176.6839728,24468.04839,5.756930039,314.7995983,477.5813462,16.24550434,57.72972383,2.293431406,0,-280.2312064886551,7253.419764427205,3116.4083066788776,7053.8557127819395,,
7.316804754,217.522862,31903.39981,9.865047503,376.9379723,425.9134002,8.992754272,69.50921982,3.50837265,0,-4120.376785041554,10384.468479273643,7789.595256541442,8395.741476283776,,
7.408985467,204.9617498,9566.12227,6.505923139,311.4526625,504.1459941,11.53214401,81.10693773,3.772420928,0,-237.2491673260443,2777.549932812855,1425.8057326231558,2611.270200187148,,
5.976769618,258.952732,27267.98186,7.648599331,383.6571521,514.1189201,12.25679025,82.46979843,2.994671096,0,-3475.0253143220025,8877.121466127417,6645.698346869224,7186.520727822965,,
6.395359132,133.8342291,23827.27502,5.127746861,266.9084283,573.4002951,9.833874585,95.02660928,4.191217515,0,-271.18176518207406,7080.9198109083345,3040.2920740568525,6861.686214344131,,
6.762832522,232.0751766,27159.38435,7.884990658,350.4452927,465.4137746,13.86396488,64.81225738,4.916579161,0,-3477.718972378931,8841.851318272815,6622.781107767931,7155.078325735457,,
9.918717064,199.1812511,21470.27831,6.79984141,329.178429,430.5077069,15.96604294,59.29227327,3.385508444,0,-233.74556983654475,6362.467105004388,2736.4686898507675,6200.340862944711,,
10.15544017,300.2924758,12652.36298,6.655126363,398.6477857,487.459131,9.347633986,67.91978869,5.00246726,0,198.3495019135604,3956.5317020953653,1350.2997013052175,4026.0280567171853,,
8.721726711,206.3696824,28608.05208,6.325442404,377.4045382,506.9383527,13.55375101,42.38148394,2.555026904,0,-329.90150940379925,8473.509104992236,3637.9350743225777,8248.785186660338,,
9.02678772,253.2170742,27965.07215,6.588374366,373.5532353,588.3196505,16.14573205,59.12445085,2.019042018,0,-308.4767747633023,8294.51767511348,3561.039718874857,8079.862766099392,,
6.953371603,203.1465468,11609.10905,5.495737655,304.2831932,551.1433372,9.387781276,55.95800559,3.651865808,0,-288.45037495370684,3371.8805605423927,1705.0202515239291,3175.498519420397,,
